tag	original_evidence_count	original_status	runtime_supplement	final_status
abort-control	1	完整		完整
account-token-selection	1	完整		完整
ack-reaction-gating	1	完整		完整
action-gate-enforcement	1	完整		完整
active-plugin-runtime-context	1	完整		完整
agent-concurrency-defaults	1	完整		完整
agent-config	1	完整		完整
agent-default-config-contract	1	完整		完整
agent-defaults	1	完整		完整
agent-defaults-runtime-validation	1	完整		完整
agent-delivery-plan-resolution	1	完整		完整
agent-event-bus	1	完整		完整
agent-identity-avatar	1	完整		完整
agent-identity-config	1	完整		完整
agent-lane-routing	1	完整		完整
agent-memory-override	1	完整		完整
agent-model-override	1	完整		完整
agent-override-merge	1	完整		完整
agent-plugin-extension-point	1	完整		完整
agent-pre-run-hooks	1	完整		完整
agent-protocol-schemas	1	完整		完整
agent-run-orchestration	1	完整		完整
agent-run-timeout-policy	1	完整		完整
agent-run-to-openai-stream-adapter	1	完整		完整
agent-run-wait-and-cache	1	完整		完整
agent-runtime	7	完整		完整
agent-runtime-validation-contracts	1	完整		完整
agent-scoped-session-store	1	完整		完整
agent-state-path	1	完整		完整
agent-to-agent-context-templating	1	完整		完整
agent-to-agent-policy-gate	1	完整		完整
agent-to-agent-send-policy	1	完整		完整
agent-to-agent-session-filter	1	完整		完整
agent-tool-apply-patch	1	完整		完整
agent-workspace-files-rpc	1	完整		完整
agents	1	完整		完整
agents-list-tooling	1	完整		完整
agents-management-rpc	1	完整		完整
agents-models-skills-protocol	1	完整		完整
agents-topology-validation	1	完整		完整
alias-resolution	1	完整		完整
allowlist-match-metadata	1	完整		完整
allowlist-merge-helpers	1	完整		完整
ambiguous-target-handling	1	完整		完整
announce-best-effort-delivery	1	完整		完整
antigravity-usage-fetcher	1	完整		完整
api-key-bridging	1	完整		完整
approval-timeout-management	1	完整		完整
approvals-runtime-validation	1	完整		完整
archival-sweeper	1	完整		完整
archive-extraction	1	完整		完整
assistant-avatar-url-resolution	1	完整		完整
assistant-identity-resolution	1	完整		完整
assistant-payload-assembly	1	完整		完整
assistant-reply-fetch	1	完整		完整
assistant-streaming	1	完整		完整
assistant-text-sanitization	1	完整		完整
assistant-tool-bridge	1	完整		完整
attachment-mime-validation	1	完整		完整
audio-media-delivery	1	完整		完整
auth-api-surface	1	完整		完整
auth-cooldown-policy	1	完整		完整
auth-credential-resolution	1	完整		完整
auth-doctor-hint	1	完整		完整
auth-domain-model	1	部分	docs/backend-trace/files/src/agents/auth-profiles/store.ts.md	完整
auth-enforcement	1	完整		完整
auth-health-check	1	完整		完整
auth-lock-policy	1	部分	docs/backend-trace/files/src/agents/auth-profiles/store.ts.md	完整
auth-mode-detection	1	完整		完整
auth-module-boundary	1	完整		完整
auth-profile-crud	1	完整		完整
auth-profile-display	1	完整		完整
auth-profile-rotation	2	完整		完整
auth-store-location	1	完整		完整
auth-store-path-resolution	1	完整		完整
auth-store-persistence	1	完整		完整
auth-store-versioning	1	部分	docs/backend-trace/files/src/agents/auth-profiles/store.ts.md	完整
aws-sdk-auth-support	1	完整		完整
backend-config-override	1	完整		完整
background-process	1	完整		完整
background-process-control	1	完整		完整
bash-background-jobs	1	完整		完整
bash-runtime-shared-utils	1	完整		完整
bedrock-provider-support	1	完整		完整
billing-rate-limit-detection	1	完整		完整
block-reply	1	完整		完整
