tag	evidence_count	evidence_files
abort-control	1	docs/backend-trace/files/src/agents/pi-tools.abort.ts.md
account-token-selection	1	docs/backend-trace/files/src/agents/tools/slack-actions.ts.md
ack-reaction-gating	1	docs/backend-trace/files/src/channels/ack-reactions.ts.md
action-gate-enforcement	1	docs/backend-trace/files/src/agents/tools/discord-actions-moderation.ts.md
active-plugin-runtime-context	1	docs/backend-trace/files/src/plugins/runtime.ts.md
agent-concurrency-defaults	1	docs/backend-trace/files/src/config/agent-limits.ts.md
agent-config	1	docs/backend-trace/files/src/agents/agent-scope.ts.md
agent-default-config-contract	1	docs/backend-trace/files/src/config/types.agent-defaults.ts.md
agent-defaults	1	docs/backend-trace/files/src/agents/defaults.ts.md
agent-defaults-runtime-validation	1	docs/backend-trace/files/src/config/zod-schema.agent-defaults.ts.md
agent-delivery-plan-resolution	1	docs/backend-trace/files/src/infra/outbound/agent-delivery.ts.md
agent-event-bus	1	docs/backend-trace/files/src/infra/agent-events.ts.md
agent-identity-avatar	1	docs/backend-trace/files/src/agents/identity-avatar.ts.md
agent-identity-config	1	docs/backend-trace/files/src/agents/identity.ts.md
agent-lane-routing	1	docs/backend-trace/files/src/agents/lanes.ts.md
agent-memory-override	1	docs/backend-trace/files/src/agents/memory-search.ts.md
agent-model-override	1	docs/backend-trace/files/src/agents/model-selection.ts.md
agent-override-merge	1	docs/backend-trace/files/src/agents/sandbox/config.ts.md
agent-plugin-extension-point	1	docs/backend-trace/files/src/agents/session-tool-result-guard-wrapper.ts.md
agent-pre-run-hooks	1	docs/backend-trace/files/src/agents/bootstrap-hooks.ts.md
agent-protocol-schemas	1	docs/backend-trace/files/src/gateway/protocol/schema/agent.ts.md
agent-run-orchestration	1	docs/backend-trace/files/src/agents/pi-embedded-runner/run.ts.md
agent-run-timeout-policy	1	docs/backend-trace/files/src/agents/timeout.ts.md
agent-run-to-openai-stream-adapter	1	docs/backend-trace/files/src/gateway/openai-http.ts.md
agent-run-wait-and-cache	1	docs/backend-trace/files/src/gateway/server-methods/agent-job.ts.md
agent-runtime	7	docs/backend-trace/files/src/cron/service/ops.ts.md;docs/backend-trace/files/src/gateway/server-cron.ts.md;docs/backend-trace/files/src/commands/agent.ts.md;docs/backend-trace/files/src/gateway/server-methods/agent.ts.md;docs/backend-trace/files/src/gateway/server-methods/sessions.ts.md;docs/backend-trace/files/src/memory/manager.ts.md;docs/backend-trace/files/src/agents/pi-tools.ts.md
agent-runtime-validation-contracts	1	docs/backend-trace/files/src/config/zod-schema.agent-runtime.ts.md
agent-scoped-session-store	1	docs/backend-trace/files/src/gateway/session-utils.ts.md
