src	mismatch_symbols	action
src/agents/pi-embedded-runner/run.ts	runEmbeddedAttempt	doc-updated
src/agents/pi-tools.ts	createOpenClawTools	doc-updated
src/agents/tools/browser-tool.ts	resolveBrowserNodeTarget,callBrowserProxy,resolveBrowserBaseUrl	doc-updated
src/agents/tools/cron-tool.ts	buildReminderContextLines,inferDeliveryFromSessionKey,stripThreadSuffixFromSessionKey	doc-updated
src/agents/tools/web-fetch.ts	runWebFetch	doc-updated
src/agents/tools/web-search.ts	runWebSearch,runPerplexitySearch,runGrokSearch	doc-updated
src/gateway/node-registry.ts	unregister,listConnected,get	doc-updated
src/gateway/openai-http.ts	buildAgentPrompt	doc-updated
src/gateway/protocol/schema/agents-models-skills.ts	ResultSchema	doc-updated
src/gateway/protocol/schema/config.ts	ConfigGet,Set,Apply,PatchParamsSchema	doc-updated
src/gateway/protocol/schema/cron.ts	CronAdd,Update,Remove,Run,RunsParamsSchema	doc-updated
src/gateway/protocol/schema/devices.ts	DevicePairList,Approve,RejectParamsSchema,DeviceTokenRotate,RevokeParamsSchema	doc-updated
src/gateway/protocol/schema/exec-approvals.ts	ExecApprovalsGet,ExecApprovalsSet,ExecApprovalRequest,ResolveParamsSchema	doc-updated
src/gateway/protocol/schema/nodes.ts	NodeList,DescribeParamsSchema	doc-updated
src/gateway/protocol/schema/sessions.ts	SessionsReset,Delete,Compact,UsageParamsSchema	doc-updated
src/gateway/protocol/schema/wizard.ts	WizardStart,Next,Cancel,StatusParamsSchema	doc-updated
src/gateway/server-methods/browser.ts	resolveBrowserNodeTarget	doc-updated
src/gateway/server-methods/usage.ts	parseDateRange,loadCostUsageSummaryCached	doc-updated
src/gateway/server-reload-handlers.ts	applyHotReload,requestGatewayRestart	doc-updated
src/agents/pi-embedded-subscribe.types.ts	BlockReplyChunking	doc-updated
src/gateway/protocol/schema.ts	export,from,schema	doc-updated
src/gateway/server.ts	GatewayServer	doc-updated
src/gateway/server/tls.ts	GatewayTlsRuntime	doc-updated
src/gateway/test-helpers.ts	export,from	doc-updated
src/memory/index.ts	MemorySearchManagerResult	doc-updated
src/memory/openai-batch.ts	export,from	doc-updated
src/config/sessions.ts	export	doc-updated
src/config/types.ts	export,from	doc-updated
src/config/zod-schema.providers.ts	export,from	doc-updated
src/channels/plugins/allowlist-match.ts	AllowlistMatch	doc-updated
src/channels/plugins/channel-config.ts	ChannelEntryMatch	doc-updated
src/channels/plugins/types.ts	adapters,plugin	doc-updated
src/plugins/runtime/index.ts	PluginRuntime	doc-updated
src/cron/isolated-agent.ts	RunCronAgentTurnResult	doc-updated
src/cron/service.ts	CronServiceDeps	doc-updated
